source,raw_text,priority_label
kaggle,Request for internship approval letter.,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,I have not received my scholarship amount.,High
kaggle,How to reset my university portal password?,Medium
kaggle,I want to change my elective subject.,Medium
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,I want to change my elective subject.,Medium
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,What are university working hours?,Low
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,I need a bonafide certificate.,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,I need a bonafide certificate.,Medium
kaggle,Please share syllabus for Data Science course.,Low
kaggle,What are university working hours?,Low
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,My admit card has incorrect details.,High
kaggle,I need a bonafide certificate.,Medium
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,Request for internship approval letter.,Medium
kaggle,How to join student clubs?,Low
kaggle,When will the library issue new ID cards?,Low
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,I have not received my scholarship amount.,High
kaggle,I have not received my scholarship amount.,High
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,When will the library issue new ID cards?,Low
kaggle,What are university working hours?,Low
kaggle,What are university working hours?,Low
kaggle,How to reset my university portal password?,Medium
kaggle,How to join student clubs?,Low
kaggle,What are university working hours?,Low
kaggle,What is the hostel application procedure?,Low
kaggle,My admit card has incorrect details.,High
kaggle,My admit card has incorrect details.,High
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,How to join student clubs?,Low
kaggle,I need a bonafide certificate.,Medium
kaggle,What are university working hours?,Low
kaggle,When will the library issue new ID cards?,Low
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,My admit card has incorrect details.,High
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,What is the hostel application procedure?,Low
kaggle,I want to change my elective subject.,Medium
kaggle,Request for internship approval letter.,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,I have not received my scholarship amount.,High
kaggle,Please share syllabus for Data Science course.,Low
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,Request for internship approval letter.,Medium
kaggle,How to reset my university portal password?,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,I have not received my scholarship amount.,High
kaggle,I need a bonafide certificate.,Medium
kaggle,Request for internship approval letter.,Medium
kaggle,What are university working hours?,Low
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,How to reset my university portal password?,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,How to join student clubs?,Low
kaggle,My admit card has incorrect details.,High
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,What are university working hours?,Low
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,What is the hostel application procedure?,Low
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,How to reset my university portal password?,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,I have not received my scholarship amount.,High
kaggle,What is the hostel application procedure?,Low
kaggle,My admit card has incorrect details.,High
kaggle,My admit card has incorrect details.,High
kaggle,When will the library issue new ID cards?,Low
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,How to join student clubs?,Low
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,Request for internship approval letter.,Medium
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,I have not received my scholarship amount.,High
kaggle,How to reset my university portal password?,Medium
kaggle,How to join student clubs?,Low
kaggle,Please share syllabus for Data Science course.,Low
kaggle,I have not received my scholarship amount.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,My admit card has incorrect details.,High
kaggle,What is the hostel application procedure?,Low
kaggle,I want to change my elective subject.,Medium
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,How to reset my university portal password?,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,Request for internship approval letter.,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,I need a bonafide certificate.,Medium
kaggle,My admit card has incorrect details.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,What are university working hours?,Low
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,I want to change my elective subject.,Medium
kaggle,My admit card has incorrect details.,High
kaggle,How to join student clubs?,Low
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,What is the hostel application procedure?,Low
kaggle,I need a bonafide certificate.,Medium
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,When will the library issue new ID cards?,Low
kaggle,I want to change my elective subject.,Medium
kaggle,What is the hostel application procedure?,Low
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,I want to change my elective subject.,Medium
kaggle,I need a bonafide certificate.,Medium
kaggle,How to join student clubs?,Low
kaggle,I want to change my elective subject.,Medium
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,Please share syllabus for Data Science course.,Low
kaggle,What are university working hours?,Low
kaggle,Request for internship approval letter.,Medium
kaggle,Request for internship approval letter.,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,I have not received my scholarship amount.,High
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,My admit card has incorrect details.,High
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,What is the hostel application procedure?,Low
kaggle,How to join student clubs?,Low
kaggle,How to join student clubs?,Low
kaggle,I have not received my scholarship amount.,High
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,What are university working hours?,Low
kaggle,What is the hostel application procedure?,Low
kaggle,Request for internship approval letter.,Medium
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,What are university working hours?,Low
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,When will the library issue new ID cards?,Low
kaggle,I want to change my elective subject.,Medium
kaggle,When will the library issue new ID cards?,Low
kaggle,I cannot download my hall ticket for tomorrow's exam.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,I have not received my scholarship amount.,High
kaggle,How to reset my university portal password?,Medium
kaggle,I have not received my scholarship amount.,High
kaggle,How to reset my university portal password?,Medium
kaggle,I need a bonafide certificate.,Medium
kaggle,LMS is not allowing assignment upload.,Medium
kaggle,What are university working hours?,Low
kaggle,I want to change my elective subject.,Medium
kaggle,Request for internship approval letter.,Medium
kaggle,How to join student clubs?,Low
kaggle,Fee payment deadline is today but portal is not working.,High
kaggle,My exam form is not submitted and tomorrow is the last date.,High
kaggle,How to reset my university portal password?,Medium
kaggle,LMS is not allowing assignment upload.,Medium
